127.0.0.1 2024-02-18 09:51:40 "GET /user/getByUserList" HTTP/1.1 200 92 3979µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:07:32 "GET /user/getUserInfo" HTTP/1.1 200 0 648µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:15:36 "GET /user/getUserInfo" HTTP/1.1 200 0 1549µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:16:03 "GET /user/getUserInfo" HTTP/1.1 200 0 1521µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:26:09 "GET /user/getUserInfo" HTTP/1.1 400 41 3337µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:26:47 "GET /user/getUserInfo" HTTP/1.1 200 0 4581µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:27:44 "GET /user/getUserInfo" HTTP/1.1 200 573 3525µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:30:53 "GET /user/getUserInfo" HTTP/1.1 200 573 6545µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 10:31:51 "GET /user/getUserInfo" HTTP/1.1 200 573 16289µs "PostmanRuntime-ApipostRuntime/1.1.0"
::1 2024-02-18 10:39:27 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 16507µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:27 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 7107µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:28 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 3875µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:28 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 3089µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:29 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 5127µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:29 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 7489µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:39:33 "GET /user/getByUserList?page=1&pageSize=7&userName=1" HTTP/1.1 200 1056 17246µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:40:34 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 5740µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 10:40:34 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2281 3758µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
